codigo,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,ica,Poblacion_partido,Personas_con_cloacas
AV051,2021.0,verano,25.3,,4.77,6.61,0.0,0.0,0.0,0.0,2000.0,1320.0,450.0,4.3,0.36,1.0,0.44,,45.0,,45.0,367554.0,289059.0
AV051,2021.0,otoño,16.2,14.5,5.95,7.79,0.0,0.0,0.0,0.0,5000.0,2400.0,60.0,3.6,3.3,0.33,0.33,6.0,,80.0,48.0,367554.0,289059.0
AV051,2021.0,invierno,15.1,12.8,3.76,7.11,0.0,0.0,0.0,0.0,40000.0,3000.0,20.0,2.2,2.0,0.61,0.56,3.3,13.0,,40.0,367554.0,289059.0
AV051,2021.0,primavera,23.9,28.0,4.59,6.76,0.0,0.0,0.0,0.0,2000.0,100.0,100.0,,1.5,0.25,0.29,2.4,15.0,,52.0,367554.0,289059.0
AV052,2021.0,verano,25.5,,3.22,6.87,0.0,0.0,0.0,0.0,10000.0,3200.0,600.0,4.0,1.6,0.98,0.46,6.4,32.0,,39.0,367554.0,289059.0
AV052,2021.0,otoño,16.2,14.5,4.67,7.69,0.0,0.0,0.0,0.0,9000.0,6400.0,600.0,3.4,2.7,0.48,0.48,7.4,30.0,75.0,41.0,367554.0,289059.0
AV052,2021.0,invierno,14.8,12.8,3.7,7.04,0.0,0.0,0.0,0.0,60000.0,3000.0,100.0,2.1,2.2,0.73,0.63,4.8,11.0,,38.0,367554.0,289059.0
AV052,2021.0,primavera,21.4,29.1,4.82,6.82,0.0,0.0,0.0,0.0,2000.0,1000.0,200.0,,0.1,0.35,0.38,3.5,13.0,,50.0,367554.0,289059.0
AV053,2021.0,verano,26.1,,2.21,7.21,0.0,0.0,0.0,0.0,40000.0,39000.0,1300.0,2.8,23.0,0.82,0.79,9.1,21.0,,36.0,367554.0,289059.0
AV053,2021.0,otoño,16.7,14.5,3.41,7.71,0.0,0.0,0.0,0.0,32000.0,9000.0,40.0,3.1,2.9,0.61,0.61,8.5,,50.0,38.0,367554.0,289059.0
AV053,2021.0,invierno,14.7,12.8,5.83,7.21,0.0,0.0,0.0,0.0,400.0,200.0,27.0,2.3,2.7,0.63,0.63,6.5,21.0,,59.0,367554.0,289059.0
AV053,2021.0,primavera,26.0,29.1,0.74,6.96,0.0,0.0,0.0,0.0,,50000.0,2100.0,,3.1,0.75,0.76,14.0,10.0,,34.0,367554.0,289059.0
AV054,2021.0,verano,26.1,,3.95,6.86,0.0,0.0,0.0,0.0,9000.0,5000.0,800.0,5.2,0.59,2.5,,6.0,45.0,,38.0,367554.0,289059.0
AV054,2021.0,otoño,16.8,14.5,3.76,7.48,0.0,0.0,0.0,0.0,180000.0,70000.0,500.0,3.9,3.9,0.77,0.77,6.7,36.0,65.0,34.0,367554.0,289059.0
AV054,2021.0,invierno,15.4,12.6,2.16,7.05,0.0,0.0,0.0,0.0,42000.0,1000.0,800.0,,2.3,0.65,0.71,4.2,22.0,,38.0,367554.0,289059.0
AV054,2021.0,primavera,21.4,28.0,4.24,6.85,0.0,0.0,0.0,0.0,1000.0,100.0,190.0,,1.0,0.25,0.28,2.7,14.0,,53.0,367554.0,289059.0
AV055,2021.0,verano,25.6,,2.46,6.97,0.0,0.0,0.0,0.0,1500.0,100.0,370.0,3.7,1.5,0.74,0.48,9.5,34.0,,47.0,367554.0,289059.0
AV055,2021.0,otoño,16.7,14.5,3.6,7.7,0.0,0.0,0.0,0.0,25000.0,6000.0,70.0,3.1,2.6,0.55,0.55,4.9,34.0,60.0,39.0,367554.0,289059.0
AV055,2021.0,invierno,14.6,12.8,3.73,7.07,0.0,0.0,0.0,0.0,3000.0,1500.0,300.0,,3.1,0.75,0.7,10.0,10.0,,46.0,367554.0,289059.0
AV055,2021.0,primavera,25.0,29.1,4.24,6.94,0.0,0.0,0.0,0.0,6000.0,200.0,100.0,2.2,0.4,0.36,0.41,3.7,12.0,,47.0,367554.0,289059.0
BS091,2021.0,verano,20.0,26.0,5.09,7.43,0.0,0.0,0.0,1.0,1000.0,360.0,300.0,3.5,5.4,1.4,1.1,3.9,18.0,,42.0,100930.0,47630.0
BS091,2021.0,invierno,10.0,12.0,6.84,8.14,1.0,1.0,1.0,1.0,100000.0,30000.0,6200.0,,13.0,1.5,1.5,5.5,8.7,,28.0,100930.0,47630.0
BS091,2021.0,primavera,11.0,19.0,5.7,7.78,0.0,1.0,0.0,1.0,10000.0,700.0,300.0,,0.9,1.1,1.2,3.0,4.9,,39.0,100930.0,47630.0
BS092,2021.0,verano,21.0,27.0,4.91,7.4,0.0,0.0,0.0,0.0,1800.0,1500.0,480.0,3.1,2.0,0.77,0.47,4.7,16.0,,43.0,100930.0,47630.0
BS092,2021.0,invierno,11.9,4.0,12.61,8.95,0.0,0.0,0.0,0.0,1600.0,100.0,160.0,3.9,1.8,,0.11,3.6,23.0,,60.0,100930.0,47630.0
BS092,2021.0,primavera,10.0,19.0,8.2,8.01,0.0,0.0,0.0,1.0,40000.0,1000.0,12.0,3.5,3.1,1.1,0.25,6.8,14.0,,38.0,100930.0,47630.0
BS093,2021.0,verano,20.0,26.0,4.89,7.75,0.0,0.0,0.0,0.0,1200.0,400.0,240.0,3.3,1.8,0.73,0.42,2.7,5.3,,46.0,100930.0,47630.0
BS093,2021.0,invierno,7.0,9.0,9.99,9.22,0.0,0.0,0.0,0.0,300.0,20.0,20.0,,1.3,0.33,0.23,5.0,75.0,,46.0,100930.0,47630.0
BS093,2021.0,invierno,7.0,8.0,10.7,9.19,0.0,0.0,0.0,0.0,4200.0,80.0,240.0,,0.7,0.45,0.22,7.3,75.0,,43.0,100930.0,47630.0
BS093,2021.0,primavera,11.0,19.0,8.29,8.39,0.0,1.0,0.0,1.0,3600.0,170.0,2.0,3.9,0.11,,0.11,3.0,50.0,,49.0,100930.0,47630.0
BS094,2021.0,verano,21.0,27.0,5.89,7.79,0.0,0.0,0.0,0.0,400.0,20.0,180.0,3.3,0.98,0.78,1.1,2.4,210.0,,49.0,100930.0,47630.0
BS094,2021.0,invierno,8.0,10.0,9.7,8.04,0.0,0.0,0.0,0.0,15000.0,1500.0,1000.0,4.2,0.2,0.56,0.44,7.0,29.0,,41.0,100930.0,47630.0
BS094,2021.0,primavera,11.0,19.0,7.58,8.21,0.0,0.0,0.0,0.0,110.0,290.0,15.0,4.1,0.41,0.31,0.27,2.5,70.0,,62.0,100930.0,47630.0
BS095,2021.0,verano,24.0,27.0,4.28,7.47,1.0,1.0,1.0,1.0,80000.0,1500.0,480.0,4.0,5.3,1.9,1.2,6.3,5.9,,26.0,100930.0,47630.0
BS095,2021.0,invierno,10.0,12.0,6.32,7.77,0.0,0.0,0.0,0.0,80000.0,10000.0,3700.0,,9.3,1.3,1.2,6.9,10.0,,37.0,100930.0,47630.0
BS095,2021.0,primavera,10.0,19.0,5.79,7.71,1.0,1.0,1.0,1.0,140000.0,12000.0,,,14.0,1.6,1.5,11.0,7.0,,26.0,100930.0,47630.0
BZ077,2021.0,verano,25.5,26.0,7.51,7.65,0.0,0.0,0.0,0.0,3000.0,2800.0,3000.0,6.2,0.54,0.64,0.94,,120.0,,35.0,358712.0,267760.0
BZ077,2021.0,otoño,13.0,16.0,12.39,9.23,0.0,0.0,0.0,0.0,29000.0,1000.0,800.0,5.9,0.24,0.22,0.22,4.2,33.0,75.0,41.0,358712.0,267760.0
BZ077,2021.0,invierno,13.0,12.5,11.82,8.8,0.0,0.0,0.0,0.0,1000.0,100.0,300.0,3.5,0.7,0.22,0.2,7.7,12.0,,61.0,358712.0,267760.0
BZ077,2021.0,primavera,26.0,26.0,12.47,9.07,0.0,0.0,0.0,0.0,800.0,200.0,30.0,5.9,0.5,0.36,0.25,,27.0,,52.0,358712.0,267760.0
BZ078,2021.0,verano,,28.5,12.87,9.31,1.0,0.0,0.0,1.0,6000.0,5000.0,185.0,4.0,0.42,0.82,0.5,,75.0,,33.0,358712.0,267760.0
BZ078,2021.0,otoño,13.0,18.0,15.2,9.66,0.0,0.0,0.0,0.0,20000.0,1000.0,500.0,4.3,0.08,0.22,0.22,3.0,40.0,65.0,42.0,358712.0,267760.0
BZ078,2021.0,invierno,12.0,16.0,10.13,8.63,0.0,0.0,0.0,0.0,10000.0,500.0,100.0,4.1,0.6,0.29,0.24,7.1,16.0,,45.0,358712.0,267760.0
BZ078,2021.0,primavera,27.0,27.5,12.65,9.18,0.0,0.0,0.0,0.0,6000.0,1400.0,100.0,5.7,0.89,0.75,0.59,,70.0,,39.0,358712.0,267760.0
BZ080,2021.0,verano,23.5,26.0,9.05,7.87,0.0,0.0,0.0,0.0,2250.0,500.0,185.0,4.1,0.15,0.58,0.59,6.0,50.0,,51.0,358712.0,267760.0
BZ080,2021.0,otoño,11.0,15.0,12.67,9.44,0.0,0.0,0.0,0.0,5000.0,800.0,600.0,3.2,0.1,0.75,0.75,3.1,43.0,80.0,44.0,358712.0,267760.0
BZ080,2021.0,invierno,12.0,10.0,10.16,9.36,0.0,0.0,0.0,0.0,10000.0,1000.0,100.0,3.4,0.7,,0.15,9.4,21.0,,43.0,358712.0,267760.0
BZ080,2021.0,primavera,26.0,26.0,11.52,8.94,0.0,0.0,0.0,0.0,190000.0,20000.0,500.0,5.4,0.34,0.47,0.19,13.0,50.0,,33.0,358712.0,267760.0
CA041,2021.0,verano,25.2,27.5,4.7,7.6,0.0,0.0,0.0,0.0,4000.0,3500.0,40.0,,0.3,0.76,,,84.0,,41.0,3121707.0,3049672.0
CA041,2021.0,invierno,15.2,,6.9,7.6,0.0,0.0,0.0,0.0,50000.0,11000.0,4100.0,4.2,3.09,0.1,0.38,,32.0,,37.0,3121707.0,3049672.0
CA041,2021.0,primavera,24.7,,7.2,7.7,0.0,0.0,0.0,0.0,23000.0,2500.0,5200.0,5.3,1.6,0.27,0.33,4.2,16.0,,39.0,3121707.0,3049672.0
CA044,2021.0,verano,26.1,27.5,4.7,7.4,0.0,0.0,0.0,0.0,25000.0,3800.0,370.0,,1.2,0.64,,,59.0,,34.0,3121707.0,3049672.0
CA044,2021.0,invierno,14.5,,8.6,7.6,0.0,0.0,0.0,0.0,13000.0,6000.0,3100.0,3.4,1.8,0.08,0.19,,31.0,,41.0,3121707.0,3049672.0
CA044,2021.0,primavera,24.9,,8.1,8.1,0.0,0.0,0.0,0.0,35000.0,5200.0,6100.0,4.4,1.7,0.25,0.27,6.9,13.0,,39.0,3121707.0,3049672.0
CA046,2021.0,verano,24.9,27.0,6.4,7.7,0.0,0.0,0.0,0.0,4000.0,3600.0,800.0,,0.3,0.69,,,91.0,,42.0,3121707.0,3049672.0
CA046,2021.0,invierno,14.7,,8.6,7.6,0.0,0.0,0.0,0.0,4000.0,3800.0,810.0,3.6,1.8,0.08,0.2,,31.0,,45.0,3121707.0,3049672.0
CA046,2021.0,primavera,24.2,,7.8,7.7,0.0,0.0,0.0,0.0,100000.0,45000.0,490.0,6.1,2.5,,0.17,5.7,21.0,,38.0,3121707.0,3049672.0
CA047,2021.0,verano,26.5,,8.7,8.1,0.0,0.0,0.0,0.0,380.0,340.0,30.0,,0.8,0.76,,,105.0,,46.0,3121707.0,3049672.0
CA047,2021.0,invierno,15.5,,9.0,7.7,0.0,0.0,0.0,0.0,12000.0,1200.0,360.0,3.5,2.06,0.1,0.42,,39.6,,46.0,3121707.0,3049672.0
CA047,2021.0,primavera,23.8,,7.9,7.6,0.0,0.0,0.0,0.0,3000.0,230.0,240.0,4.7,,0.33,0.31,5.2,10.0,,52.0,3121707.0,3049672.0
EN-adic,2021.0,primavera,,28.0,,,0.0,0.0,0.0,0.0,6000.0,200.0,20.0,7.5,0.07,0.43,0.19,5.6,31.0,,46.0,63997.0,37375.0
EN081,2021.0,verano,23.8,20.0,8.27,7.98,0.0,0.0,0.0,0.0,2200.0,50.0,30.0,7.0,0.16,1.1,0.41,3.1,39.0,,51.0,63997.0,37375.0
EN081,2021.0,otoño,12.9,12.0,12.04,9.32,0.0,0.0,0.0,0.0,300.0,20.0,10.0,5.4,7.0,0.57,0.57,4.1,,60.0,56.0,63997.0,37375.0
EN081,2021.0,primavera,22.7,27.0,12.22,9.18,0.0,0.0,0.0,0.0,300.0,20.0,4.0,6.9,0.14,0.33,0.16,7.1,45.0,,58.0,63997.0,37375.0
EN082,2021.0,verano,24.5,20.0,4.1,7.58,0.0,0.0,0.0,0.0,1300.0,100.0,280.0,7.5,0.2,0.88,0.33,,40.0,,50.0,63997.0,37375.0
EN082,2021.0,otoño,14.2,12.0,11.48,8.95,0.0,0.0,0.0,0.0,400.0,30.0,10.0,6.4,0.26,0.26,0.26,2.1,,45.0,72.0,63997.0,37375.0
EN082,2021.0,invierno,11.4,4.0,12.47,9.44,0.0,0.0,0.0,0.0,300.0,100.0,110.0,5.1,1.1,0.41,0.37,8.8,31.0,,58.0,63997.0,37375.0
EN082,2021.0,primavera,24.7,27.0,8.57,8.17,0.0,0.0,0.0,0.0,100.0,5.0,6.0,6.2,0.61,0.21,0.18,2.1,14.0,,65.0,63997.0,37375.0
EN083,2021.0,verano,22.9,20.0,0.59,7.36,0.0,0.0,0.0,1.0,3000.0,400.0,300.0,6.6,2.4,1.0,0.63,5.8,36.0,,40.0,63997.0,37375.0
EN083,2021.0,otoño,14.5,11.0,4.47,7.68,0.0,0.0,0.0,0.0,10000.0,2800.0,1600.0,6.5,4.3,0.38,0.38,3.8,,16.0,38.0,63997.0,37375.0
EN083,2021.0,invierno,12.1,4.0,12.72,9.25,0.0,0.0,0.0,0.0,700.0,20.0,50.0,4.4,0.7,,0.11,5.2,23.0,,67.0,63997.0,37375.0
EN083,2021.0,primavera,22.4,27.0,3.91,7.56,0.0,0.0,0.0,0.0,6100.0,5100.0,660.0,4.6,4.1,0.28,,12.0,15.0,,39.0,63997.0,37375.0
EN084,2021.0,verano,24.7,20.0,5.61,7.67,0.0,0.0,0.0,0.0,160.0,120.0,90.0,8.2,0.1,0.61,0.25,,26.0,,57.0,63997.0,37375.0
EN084,2021.0,otoño,14.4,11.0,9.11,8.1,0.0,0.0,0.0,0.0,600.0,100.0,20.0,8.1,0.06,0.23,0.23,3.2,,39.0,74.0,63997.0,37375.0
EN084,2021.0,invierno,12.9,4.0,9.27,8.04,0.0,0.0,0.0,0.0,500.0,100.0,380.0,3.5,2.9,0.28,0.14,6.3,19.0,,60.0,63997.0,37375.0
EN084,2021.0,primavera,22.0,27.0,8.7,8.15,0.0,0.0,0.0,0.0,400.0,100.0,225.0,7.9,0.74,0.22,0.13,3.9,25.0,,58.0,63997.0,37375.0
QU061,2021.0,verano,24.9,18.0,4.84,7.36,0.0,0.0,0.0,0.0,1800.0,520.0,90.0,4.0,1.5,1.2,0.51,,23.0,,45.0,633391.0,469008.0
QU061,2021.0,otoño,14.5,11.0,8.65,7.47,0.0,0.0,0.0,1.0,6000.0,1000.0,20.0,3.8,1.4,0.87,0.87,8.9,,50.0,44.0,633391.0,469008.0
QU061,2021.0,invierno,14.5,7.0,9.29,7.29,0.0,0.0,0.0,1.0,12000.0,50.0,5.0,3.2,0.1,0.52,0.41,6.6,29.0,,49.0,633391.0,469008.0
QU061,2021.0,primavera,23.1,28.0,8.83,7.43,1.0,0.0,0.0,0.0,4000.0,500.0,5.0,,0.8,0.24,0.53,6.2,9.9,,50.0,633391.0,469008.0
QU062,2021.0,verano,20.8,18.0,7.17,7.57,0.0,0.0,0.0,0.0,3800.0,1000.0,180.0,4.4,1.2,0.98,0.49,,22.0,,44.0,633391.0,469008.0
QU062,2021.0,otoño,14.0,11.0,6.99,7.5,0.0,0.0,0.0,1.0,5000.0,2800.0,40.0,4.3,3.0,0.53,0.53,4.0,,95.0,44.0,633391.0,469008.0
QU062,2021.0,invierno,13.6,7.0,8.97,8.24,0.0,0.0,0.0,0.0,2000.0,100.0,10.0,4.8,0.2,0.38,0.29,6.8,30.0,,64.0,633391.0,469008.0
QU062,2021.0,primavera,23.5,28.0,8.84,7.59,0.0,0.0,0.0,0.0,3000.0,100.0,34.0,5.1,1.6,0.32,0.29,5.8,16.0,,53.0,633391.0,469008.0
QU063,2021.0,verano,25.5,18.0,4.66,7.34,0.0,0.0,0.0,1.0,400.0,380.0,30.0,5.1,0.76,1.0,0.43,4.0,31.0,,46.0,633391.0,469008.0
QU063,2021.0,otoño,15.0,11.0,7.58,7.42,0.0,0.0,0.0,0.0,7000.0,2000.0,10.0,4.4,0.82,0.73,0.73,7.0,,70.0,48.0,633391.0,469008.0
QU063,2021.0,invierno,13.1,7.0,8.63,7.93,0.0,0.0,0.0,0.0,10000.0,500.0,140.0,3.7,1.0,0.46,0.34,8.1,18.0,,47.0,633391.0,469008.0
QU063,2021.0,primavera,24.3,28.0,13.18,8.11,0.0,0.0,0.0,0.0,2800.0,100.0,40.0,2.9,0.6,0.57,0.51,4.4,11.0,,49.0,633391.0,469008.0
SF015,2021.0,verano,26.0,26.0,3.84,6.92,0.0,0.0,0.0,0.0,4000.0,2500.0,960.0,3.5,1.7,0.84,0.36,3.0,55.0,,41.0,171616.0,157308.0
SF015,2021.0,invierno,18.0,12.0,5.95,7.32,0.0,0.0,0.0,0.0,3000.0,100.0,40.0,2.3,1.0,0.26,0.3,2.7,25.0,,60.0,171616.0,157308.0
SF015,2021.0,primavera,22.0,25.0,3.61,8.13,0.0,0.0,0.0,0.0,3000.0,300.0,30.0,,1.1,0.27,0.29,2.3,17.0,,51.0,171616.0,157308.0
SI022,2021.0,verano,27.8,28.0,4.84,7.69,0.0,0.0,0.0,0.0,5100.0,2000.0,260.0,4.6,0.69,0.85,0.3,,27.0,,42.0,297282.0,275528.0
SI022,2021.0,otoño,16.0,17.0,9.37,8.01,0.0,0.0,0.0,0.0,88000.0,6000.0,1300.0,6.6,0.97,0.27,0.27,8.7,,210.0,36.0,297282.0,275528.0
SI022,2021.0,invierno,16.0,13.5,8.02,7.52,0.0,0.0,0.0,0.0,1000.0,1000.0,100.0,7.0,0.8,0.35,0.35,5.5,20.0,,58.0,297282.0,275528.0
SI022,2021.0,primavera,25.0,32.0,6.4,7.4,0.0,0.0,0.0,0.0,15000.0,2400.0,290.0,3.4,2.1,0.31,0.27,2.8,11.0,,42.0,297282.0,275528.0
SI023,2021.0,verano,28.0,28.0,3.6,7.67,0.0,0.0,0.0,1.0,40000.0,37000.0,4800.0,2.8,4.2,0.86,0.53,4.8,5.2,,33.0,297282.0,275528.0
SI023,2021.0,otoño,18.0,17.0,3.29,7.42,0.0,0.0,0.0,0.0,15000.0,12000.0,2000.0,22.1,5.0,0.51,0.51,4.3,,6.9,38.0,297282.0,275528.0
SI023,2021.0,invierno,17.0,14.0,4.07,7.27,0.0,0.0,0.0,0.0,80000.0,5000.0,2800.0,21.0,1.6,0.41,0.45,4.1,9.0,,36.0,297282.0,275528.0
SI023,2021.0,primavera,26.0,32.5,5.9,7.3,0.0,0.0,0.0,0.0,5000.0,2000.0,450.0,9.0,0.6,0.36,0.32,3.1,9.4,,46.0,297282.0,275528.0
SI024,2021.0,verano,27.0,28.0,5.66,7.82,0.0,0.0,0.0,1.0,7600.0,7000.0,270.0,5.5,0.37,0.56,0.34,,35.0,,42.0,297282.0,275528.0
SI024,2021.0,otoño,15.0,16.0,9.44,7.99,0.0,0.0,0.0,0.0,2500.0,2000.0,100.0,6.2,0.82,0.36,0.36,13.0,,340.0,48.0,297282.0,275528.0
SI024,2021.0,invierno,15.7,14.5,8.14,7.03,0.0,0.0,0.0,0.0,14000.0,4400.0,700.0,5.4,0.5,0.35,0.37,5.5,23.0,,41.0,297282.0,275528.0
SI024,2021.0,primavera,27.5,32.0,7.19,7.55,0.0,0.0,0.0,0.0,4000.0,300.0,30.0,5.6,0.1,0.31,0.3,,7.6,,54.0,297282.0,275528.0
TI001,2021.0,verano,25.6,27.0,3.91,6.96,0.0,0.0,0.0,1.0,4000.0,1000.0,330.0,6.5,0.4,0.92,0.37,,60.0,,42.0,446949.0,144834.0
TI001,2021.0,otoño,15.6,13.0,8.28,6.79,0.0,0.0,0.0,0.0,4000.0,200.0,50.0,3.0,0.98,0.2,0.2,4.1,,110.0,48.0,446949.0,144834.0
TI001,2021.0,invierno,14.8,13.0,9.9,7.09,0.0,0.0,0.0,0.0,1000.0,200.0,68.0,2.1,1.1,,,,27.0,,64.0,446949.0,144834.0
TI001,2021.0,primavera,24.4,29.0,7.28,6.91,0.0,0.0,0.0,1.0,400.0,200.0,65.0,2.7,0.44,0.27,0.12,,45.0,,55.0,446949.0,144834.0
TI002,2021.0,verano,24.6,24.0,1.21,7.12,1.0,1.0,1.0,1.0,20000.0,18000.0,4600.0,2.8,6.0,0.68,0.56,6.3,17.0,,26.0,446949.0,144834.0
TI002,2021.0,otoño,15.7,13.0,4.82,7.04,0.0,0.0,0.0,0.0,80000.0,60000.0,5600.0,2.9,4.3,0.51,0.51,4.8,,70.0,36.0,446949.0,144834.0
TI002,2021.0,invierno,14.7,14.0,2.3,6.8,1.0,0.0,0.0,0.0,30000.0,10000.0,240.0,,3.0,0.57,0.58,5.0,21.0,,34.0,446949.0,144834.0
TI002,2021.0,primavera,24.6,29.0,1.81,6.71,1.0,1.0,0.0,1.0,4000.0,1000.0,1350.0,,3.1,0.47,0.39,6.0,19.0,,34.0,446949.0,144834.0
TI003,2021.0,verano,24.0,24.0,2.9,6.82,0.0,1.0,0.0,1.0,4000.0,400.0,20.0,2.6,0.85,0.59,0.29,,33.0,,42.0,446949.0,144834.0
TI003,2021.0,otoño,15.1,13.0,4.87,7.05,0.0,0.0,0.0,0.0,40000.0,20000.0,1500.0,2.9,4.5,0.5,0.5,7.5,,110.0,35.0,446949.0,144834.0
TI003,2021.0,invierno,14.4,11.0,3.31,6.79,0.0,0.0,0.0,0.0,10000.0,10000.0,1700.0,2.1,2.8,0.44,0.48,4.6,20.0,,40.0,446949.0,144834.0
TI003,2021.0,primavera,23.8,31.0,4.71,6.77,0.0,0.0,0.0,1.0,3000.0,2000.0,10.0,2.0,0.3,0.2,0.19,,33.0,,49.0,446949.0,144834.0
TI004,2021.0,verano,24.8,22.0,2.95,6.81,1.0,0.0,1.0,0.0,8000.0,2200.0,800.0,3.2,2.3,0.89,0.44,2.3,50.0,,35.0,446949.0,144834.0
TI004,2021.0,otoño,15.3,13.0,4.74,6.75,1.0,1.0,0.0,0.0,82000.0,25000.0,2100.0,2.9,3.2,0.44,0.44,7.2,,110.0,29.0,446949.0,144834.0
TI004,2021.0,invierno,14.8,14.0,5.33,6.82,1.0,0.0,0.0,0.0,1000.0,500.0,100.0,2.2,0.8,0.36,0.35,2.1,21.0,,57.0,446949.0,144834.0
TI004,2021.0,primavera,24.7,31.0,5.07,6.75,1.0,1.0,0.0,1.0,6200.0,1400.0,200.0,2.2,,0.21,0.2,2.2,31.0,,42.0,446949.0,144834.0
TI005,2021.0,verano,24.5,22.0,1.86,7.11,1.0,1.0,0.0,1.0,20000.0,8000.0,1940.0,3.1,6.9,1.5,0.96,,13.0,,28.0,446949.0,144834.0
TI005,2021.0,otoño,15.3,12.0,4.25,6.74,1.0,1.0,0.0,0.0,120000.0,48000.0,4600.0,2.8,4.5,0.55,0.55,6.5,,85.0,31.0,446949.0,144834.0
TI005,2021.0,invierno,14.4,8.0,1.46,6.8,1.0,1.0,1.0,0.0,100000.0,10000.0,400.0,,5.7,0.65,0.68,8.6,16.0,,30.0,446949.0,144834.0
TI005,2021.0,primavera,23.0,27.0,0.82,7.19,1.0,1.0,0.0,1.0,30000.0,5000.0,1340.0,,9.7,1.1,1.3,12.0,13.0,,28.0,446949.0,144834.0
